Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Number of years of AmeriFlux BASE data,AmeriFlux BASE Data Start,AmeriFlux BASE Data End,Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,AmeriFlux FLUXNET Data Start,AmeriFlux FLUXNET Data End,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available
US-Kon,Konza Prairie LTER (KNZ),Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",867,12.77,USA,39.0824,-96.5603,417,16,2004,2019,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1246068,2004,2019,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/2316062,2006,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-KS2,Kennedy Space Center (scrub oak),Ross Hinkle (rhinkle@ucf.edu),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Cwa,"Humid Subtropical: dry winter, hot summer",1294,21.66,USA,28.6086,-80.6715,3,8,1999,2006,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246070,1999,2006,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/2229380,2000,2007,"CO2, FC, G, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SW_IN, TA, USTAR, VPD, WD, WS",
US-KUT,KUOM Turfgrass Field,Joe McFadden (mcfadden@ucsb.edu),CC-BY-4.0,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",777,7.9,USA,44.995,-93.1863,301,5,2005,2009,"2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1246145,,,,,2005,2009,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-LL1,Longleaf Pine - Baker (Mesic site),Gregory Starr (gstarr@ua.edu),CC-BY-4.0,Yes,No,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1310,20,USA,31.2792,-84.5329,165,12,2009,2020,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1773395,,,,,2008,2016,"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
US-LL2,Longleaf Pine - Dubignion (Intermediate site),Gregory Starr (gstarr@ua.edu),CC-BY-4.0,Yes,No,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1310,20,USA,31.201,-84.4449,155,9,2009,2017,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1773396,,,,,2008,2016,"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
US-LL3,Longleaf Pine - Red Dirt (Xeric site),Gregory Starr (gstarr@ua.edu),CC-BY-4.0,Yes,No,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1310,20,USA,31.2688,-84.4787,159.5,9,2009,2017,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017",https://doi.org/10.17190/AMF/1773397,,,,,2008,2016,"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
US-Los,Lost Creek,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,No,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,828,4.08,USA,46.0827,-89.9792,480,25,2000,2024,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246071,,,,,2001,,"CH4, CO2, FC, FCH4, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, VPD, WD, WS, WTD",
US-LS1,San Pedro River Lewis Springs Sacaton Grassland,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,No,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bwh,Desert: warm winter,288,17,USA,31.5615,-110.1403,1230,6,2002,2007,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1660346,,,,,2003,2007,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, TA, TS, T_SONIC, USTAR, WD, WS",
US-LS2,San Pedro River Lewis Springs Savanna,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,Yes,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Bwh,Desert: warm winter,288,17,USA,31.5659,-110.1344,1240,6,2002,2007,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1660347,2002,2007,"2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/2204870,2003,2007,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS",
US-Me2,Metolius mature ponderosa pine,Chris Still (chris.still@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",523,6.28,USA,44.4526,-121.5589,1253,23,2002,2024,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246076,2002,2022,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1854368,2002,,"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX",
US-Me3,Metolius-second young aged pine,Bev Law (bev.law@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",719,7.07,USA,44.3154,-121.6078,1005,6,2004,2009,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1246077,2004,2009,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1902835,2004,2009,"APAR, CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-Me6,Metolius Young Pine Burn,Chris Still (chris.still@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",494,7.59,USA,44.3233,-121.6078,998,13,2010,2022,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246128,2010,2022,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/2204871,2010,,"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",
US-MN1,"Morris: Corn-Soybean with Cover Crops, Strip Tillage",Sharon Weyers (sharon.weyers@usda.gov),CC-BY-4.0,Yes,No,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dwb,Warm Summer Continental: dry winters ,684.5,5.7,USA,45.6168,-96.1269,339,7,2017,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2407204,,,,,2017,,"ALB, CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, FH2O, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL",
US-MN2,"Morris: Corn-Soybean-Wheat with Cover Crops, Minimal Tillage",Sharon Weyers (sharon.weyers@usda.gov),CC-BY-4.0,Yes,No,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dwb,Warm Summer Continental: dry winters ,684.5,5.7,USA,45.627,-96.1271,339,7,2017,2023,"2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2407205,,,,,2017,,"ALB, CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, FH2O, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, T_CANOPY, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL",
US-Mo1,LTAR CMRB Field 1 (CMRB ASP),Adam Schreiner-McGraw (Adam.Schreiner-McGraw@usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",981,12,USA,39.2298,-92.1167,260,9,2015,2023,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1870588,2015,2023,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2229382,2015,,"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
US-Mo2,LTAR CMRB Tucker Prairie (CMRB TP),Adam Schreiner-McGraw (Adam.Schreiner-McGraw@usda.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",981,12,USA,38.9488,-91.9945,275,6,2018,2023,"2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1902276,2018,2023,"2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/2229383,2017,,"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
US-Mo3,LTAR CMRB Field 3 (CMRB BAU),Adam Schreiner-McGraw (Adam.Schreiner-McGraw@usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",981,12,USA,39.2322,-92.1493,261,8,2016,2023,"2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1870589,2016,2021,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229384,2016,,"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",
US-MOz,Missouri Ozark Site,Lianhong Gu (lianhong-gu@ornl.gov),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",986,12.11,USA,38.7441,-92.2,219.4,18,2004,2021,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1246081,2004,2021,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1854370,2004,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS",
US-MRf,Mary's River (Fir) site,Bev Law (bev.law@oregonstate.edu),Legacy,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",1819.59,10.24,USA,44.6465,-123.5515,263,6,2006,2011,"2006, 2007, 2008, 2009, 2010, 2011",https://doi.org/10.17190/AMF/1246049,,,,,2006,2011,"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",
US-NC1,NC_Clearcut,Asko Noormets (noormets@tamu.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1320,16.6,USA,35.8118,-76.7119,5,8,2005,2012,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1246082,2005,2012,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1902836,2005,2013,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",
US-NC2,NC_Loblolly Plantation,Asko Noormets (noormets@tamu.edu),CC-BY-4.0,Yes,No,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1320,16.6,USA,35.803,-76.6685,5,20,2005,2024,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246083,,,,,2005,,"CH4, CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
US-NC3,NC_Clearcut#3,Asko Noormets (noormets@tamu.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1320,16.6,USA,35.799,-76.656,5,9,2013,2021,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1419506,2013,2021,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204872,2013,2021,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
US-NC4,NC_AlligatorRiver,John King (john_king@ncsu.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1311,16.6,USA,35.7879,-75.9038,1,13,2009,2021,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1480314,2009,2021,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1902837,2009,,"CH4, CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",
US-Ne1,Mead - irrigated continuous maize site,Andy Suyker (asuyker1@unl.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",790.37,10.07,USA,41.1651,-96.4766,361,24,2001,2024,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246084,2001,2020,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871140,2001,,"CO2, FAPAR, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS, ZL",
US-Ne2,Mead - irrigated maize-soybean rotation site,Andy Suyker (asuyker1@unl.edu),CC-BY-4.0,Yes,No,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",788.89,10.08,USA,41.1649,-96.4701,362,24,2001,2024,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246085,,,,,2001,,"CO2, FAPAR, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS, ZL",
US-Ne3,Mead - rainfed maize-soybean rotation site,Andy Suyker (asuyker1@unl.edu),CC-BY-4.0,Yes,No,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",783.68,10.11,USA,41.1797,-96.4397,363,24,2001,2024,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024",https://doi.org/10.17190/AMF/1246086,,,,,2001,,"CO2, FAPAR, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS, ZL",
US-Oho,Oak Openings,Jiquan Chen (jqchen@msu.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",849,10.1,USA,41.5545,-83.8438,230,10,2004,2013,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",https://doi.org/10.17190/AMF/1246089,2004,2013,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",https://doi.org/10.17190/AMF/2229385,2004,2013,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, RH, SC, SWC, SW_IN, SW_OUT, SWP, TA, THROUGHFALL, TS, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",
US-ORv,Olentangy River Wetland Research Park,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1499.1,11.63,USA,40.0201,-83.0183,221,6,2011,2016,"2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1246135,2011,2016,"2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1832164,2011,2016,"CH4, CO2, FC, FCH4, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS",
